minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
25,Goal,0.875999985,0.439000015,0.076271981,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15133,Levante,Barcelona,3,3,11-05-2021 20:00,NA,None
28,MissedShots,0.810999985,0.515,0.102905661,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15133,Levante,Barcelona,3,3,11-05-2021 20:00,Sergio Busquets,TakeOn
31,BlockedShot,0.800999985,0.500999985,0.062636502,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15133,Levante,Barcelona,3,3,11-05-2021 20:00,Ousmane Dembélé,Pass
57,BlockedShot,0.875999985,0.472000008,0.127621338,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15133,Levante,Barcelona,3,3,11-05-2021 20:00,Frenkie de Jong,Pass
9,BlockedShot,0.880999985,0.452000008,0.116396867,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15141,Barcelona,Celta Vigo,1,2,16-05-2021 16:30,Ousmane Dembélé,TakeOn
16,MissedShots,0.743000031,0.475,0.022857815,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15141,Barcelona,Celta Vigo,1,2,16-05-2021 16:30,Antoine Griezmann,Pass
18,MissedShots,0.951999969,0.665999985,0.064961873,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15141,Barcelona,Celta Vigo,1,2,16-05-2021 16:30,Antoine Griezmann,Chipped
27,Goal,0.925,0.437000008,0.301991075,Lionel Messi,h,2097,OpenPlay,2020,Head,15141,Barcelona,Celta Vigo,1,2,16-05-2021 16:30,Sergio Busquets,Chipped
41,BlockedShot,0.765999985,0.424000015,0.032836854,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15141,Barcelona,Celta Vigo,1,2,16-05-2021 16:30,Antoine Griezmann,TakeOn
92,MissedShots,0.804000015,0.535,0.043372773,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15141,Barcelona,Celta Vigo,1,2,16-05-2021 16:30,Miralem Pjanic,TakeOn
