index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3431,Lionel Andrés Messi Cuccittini,Barcelona,36,Shot,Open Play,Goal,0.19878964,110.2,47.3
3441,Lionel Andrés Messi Cuccittini,Barcelona,60,Shot,Open Play,Saved to Post,0.37060395,112.5,49.3
3212,Lionel Andrés Messi Cuccittini,Barcelona,23,Shot,Open Play,Saved,0.027529646,95.4,50.9
3214,Lionel Andrés Messi Cuccittini,Barcelona,27,Shot,Open Play,Off T,0.21482702,104.8,39.3
3216,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Saved,0.23791867,110.2,47.7
3230,Lionel Andrés Messi Cuccittini,Barcelona,63,Shot,Open Play,Off T,0.16341168,113.8,27.3
3090,Lionel Andrés Messi Cuccittini,Barcelona,39,Shot,Open Play,Off T,0.13096318,105.6,47.5
3094,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Off T,0.09257536,112.2,45.3
3454,Lionel Andrés Messi Cuccittini,Barcelona,57,Shot,Open Play,Saved,0.027177418,89.5,49.4
3753,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Saved,0.027960788,95.1,48.2
3768,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Off T,0.17448671,110,33.2
3770,Lionel Andrés Messi Cuccittini,Barcelona,80,Shot,Open Play,Goal,0.15266131,110.7,50.2
3407,Lionel Andrés Messi Cuccittini,Barcelona,49,Shot,Open Play,Off T,0.0975223,100.5,49.6
3416,Lionel Andrés Messi Cuccittini,Barcelona,80,Shot,Open Play,Off T,0.17592956,107.9,49.6
3412,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Saved,0.064994924,109.1,50.3
3419,Lionel Andrés Messi Cuccittini,Barcelona,34,Shot,Open Play,Goal,0.051884733,100.7,51.5
3423,Lionel Andrés Messi Cuccittini,Barcelona,50,Shot,Open Play,Goal,0.92155415,119,38.7
3599,Lionel Andrés Messi Cuccittini,Barcelona,52,Shot,Open Play,Off T,0.031881806,107,54.7
3603,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Blocked,0.023344604,108.6,62.4
3606,Lionel Andrés Messi Cuccittini,Barcelona,70,Shot,Open Play,Blocked,0.03284303,113.5,27.2
3917,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Blocked,0.039742388,98.3,50.5
3920,Lionel Andrés Messi Cuccittini,Barcelona,66,Shot,Open Play,Off T,0.016920282,92.3,27.3
