index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3860,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Goal,0.13152085,101.9,33.6
3864,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Goal,0.12121377,101.6,36.3
3786,Lionel Andrés Messi Cuccittini,Barcelona,34,Shot,Open Play,Blocked,0.042034693,102.1,50
3788,Lionel Andrés Messi Cuccittini,Barcelona,44,Shot,Open Play,Saved,0.09754258,115.1,50.9
3792,Lionel Andrés Messi Cuccittini,Barcelona,72,Shot,Open Play,Off T,0.10884441,100.6,41.6
3793,Lionel Andrés Messi Cuccittini,Barcelona,74,Shot,Open Play,Goal,0.24168725,109.3,41.4
3798,Lionel Andrés Messi Cuccittini,Barcelona,86,Shot,Open Play,Blocked,0.06424051,104,48.6
3942,Lionel Andrés Messi Cuccittini,Barcelona,7,Shot,Open Play,Goal,0.39956787,113.3,45.2
3943,Lionel Andrés Messi Cuccittini,Barcelona,22,Shot,Open Play,Saved,0.20392491,115.3,44.7
3944,Lionel Andrés Messi Cuccittini,Barcelona,22,Shot,Open Play,Post,0.42044654,118.6,44.8
3946,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Blocked,0.08108133,104.9,52.8
3948,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Wayward,0.21683764,112.4,36.1
3951,Lionel Andrés Messi Cuccittini,Barcelona,42,Shot,Open Play,Saved,0.12215761,109.8,34.1
3953,Lionel Andrés Messi Cuccittini,Barcelona,48,Shot,Open Play,Saved,0.18662691,104.7,39.8
3954,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Saved,0.08499717,101.5,43.8
3955,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Off T,0.3920476,107.4,37.4
3714,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Goal,0.4158526,116.3,43.7
3727,Lionel Andrés Messi Cuccittini,Barcelona,62,Shot,Open Play,Goal,0.13779616,115.4,32.5
3729,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Off T,0.41386223,109.2,37.1
3731,Lionel Andrés Messi Cuccittini,Barcelona,74,Shot,Open Play,Saved,0.04653498,99.4,39.8
3734,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Goal,0.32391706,112.2,39.5
3901,Lionel Andrés Messi Cuccittini,Barcelona,19,Shot,Open Play,Blocked,0.03836797,102,55.8
3903,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Blocked,0.1007213,103.6,32.9
3905,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Saved,0.023035105,113.1,24.9
3907,Lionel Andrés Messi Cuccittini,Barcelona,27,Shot,Open Play,Blocked,0.1277423,111,28.4
3913,Lionel Andrés Messi Cuccittini,Barcelona,50,Shot,Open Play,Saved,0.057742845,104.1,46.9
3920,Lionel Andrés Messi Cuccittini,Barcelona,89,Shot,Open Play,Blocked,0.0316514,96.8,48.8
3921,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Off T,0.3273049,112.2,46.3
3685,Lionel Andrés Messi Cuccittini,Barcelona,7,Shot,Open Play,Off T,0.08355906,108.9,54.9
3686,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Goal,0.7699914,114.5,35.5
3695,Lionel Andrés Messi Cuccittini,Barcelona,38,Shot,Open Play,Goal,0.4596714,108.8,46.2
3696,Lionel Andrés Messi Cuccittini,Barcelona,40,Shot,Open Play,Goal,0.2736098,107.4,35.2
3703,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Saved,0.042943068,97.1,33.7
3704,Lionel Andrés Messi Cuccittini,Barcelona,60,Shot,Open Play,Saved,0.12944317,102,40.7
3711,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Off T,0.16977915,113.3,33.7
3712,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Saved,0.25474748,109.8,34.2
3716,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Saved,0.437863,107.4,42.3
3717,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Saved,0.079614945,107.6,48.1
3722,Lionel Andrés Messi Cuccittini,Barcelona,33,Shot,Open Play,Blocked,0.014194769,98.2,56.1
3727,Lionel Andrés Messi Cuccittini,Barcelona,50,Shot,Open Play,Saved,0.090468176,103.8,47.5
3738,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Goal,0.403021,108.2,37.9
