id,minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
370027,55,BlockedShot,0.951999969,0.624000015,0.106761687,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12364,Barcelona,Espanyol,1,0,08-07-2020 20:00,Antoine Griezmann,Pass
370031,67,SavedShot,0.955,0.678000031,0.061184745,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12364,Barcelona,Espanyol,1,0,08-07-2020 20:00,Sergi Roberto,Chipped
370650,0,BlockedShot,0.733000031,0.355999985,0.01688767,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12380,Real Valladolid,Barcelona,0,1,11-07-2020 17:30,Arturo Vidal,TakeOn
370659,41,BlockedShot,0.848000031,0.602000008,0.09795288,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12380,Real Valladolid,Barcelona,0,1,11-07-2020 17:30,Arturo Vidal,TakeOn
372055,38,BlockedShot,0.85,0.572999992,0.071616687,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12385,Barcelona,Osasuna,1,2,16-07-2020 19:00,Riqui Puig,Pass
372061,53,SavedShot,0.914000015,0.34,0.067161754,Lionel Messi,h,2097,OpenPlay,2019,RightFoot,12385,Barcelona,Osasuna,1,2,16-07-2020 19:00,Nélson Semedo,Pass
372062,55,BlockedShot,0.881999969,0.567000008,0.097633809,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12385,Barcelona,Osasuna,1,2,16-07-2020 19:00,Anssumane Fati,Pass
372065,64,MissedShots,0.625999985,0.093999996,0.008851149,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12385,Barcelona,Osasuna,1,2,16-07-2020 19:00,Sergi Roberto,Pass
372490,15,ShotOnPost,0.738000031,0.454000015,0.021369953,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12393,Alaves,Barcelona,0,5,19-07-2020 19:00,Anssumane Fati,Pass
372495,33,Goal,0.943000031,0.555,0.839625716,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12393,Alaves,Barcelona,0,5,19-07-2020 19:00,Riqui Puig,TakeOn
372501,74,Goal,0.891999969,0.517999992,0.12494842,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12393,Alaves,Barcelona,0,5,19-07-2020 19:00,Jordi Alba,Cross
