index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3601,Lionel Andrés Messi Cuccittini,Barcelona,26,Shot,Open Play,Wayward,0.23262669,114.6,38.3
3603,Lionel Andrés Messi Cuccittini,Barcelona,32,Shot,Open Play,Blocked,0.022835607,100.6,61
3604,Lionel Andrés Messi Cuccittini,Barcelona,38,Shot,Open Play,Off T,0.13475874,111.4,39.4
3608,Lionel Andrés Messi Cuccittini,Barcelona,65,Shot,Open Play,Goal,0.46328813,114.5,37.2
3610,Lionel Andrés Messi Cuccittini,Barcelona,68,Shot,Open Play,Off T,0.12117713,111.6,38.7
3611,Lionel Andrés Messi Cuccittini,Barcelona,68,Shot,Open Play,Saved,0.2897281,104.4,40.8
3615,Lionel Andrés Messi Cuccittini,Barcelona,79,Shot,Open Play,Saved,0.018064091,96.8,52.9
3617,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Saved,0.048981007,100.5,40.5
3845,Lionel Andrés Messi Cuccittini,Barcelona,8,Shot,Open Play,Off T,0.13531555,112,50.9
3846,Lionel Andrés Messi Cuccittini,Barcelona,14,Shot,Open Play,Saved,0.0692578,100.3,40.1
3858,Lionel Andrés Messi Cuccittini,Barcelona,60,Shot,Open Play,Blocked,0.048794497,96.8,32.1
3079,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Off T,0.028093245,98,49.1
3667,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Blocked,0.024840806,91.2,39.2
3670,Lionel Andrés Messi Cuccittini,Barcelona,19,Shot,Open Play,Blocked,0.02833785,104.2,29.5
3671,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Off T,0.59900564,116.3,41.1
3678,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Blocked,0.040916838,103,48.3
3684,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Saved,0.37018698,110.4,36.6
3687,Lionel Andrés Messi Cuccittini,Barcelona,66,Shot,Open Play,Goal,0.42766833,112.3,43.9
3632,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Blocked,0.03730027,97.2,39.4
3635,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Saved,0.019579547,96.6,52.3
3640,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Blocked,0.04123849,100.9,45.5
3643,Lionel Andrés Messi Cuccittini,Barcelona,33,Shot,Open Play,Saved,0.02963902,95.8,44.8
3646,Lionel Andrés Messi Cuccittini,Barcelona,45,Shot,Open Play,Saved,0.049270872,101.8,28.6
3654,Lionel Andrés Messi Cuccittini,Barcelona,89,Shot,Open Play,Off T,0.059850268,94.6,40.3
3248,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Saved,0.04148998,96,44
